Date,New Cases,,Total Cases,,Active Cases,,multiplier,,geo mean,,,,,,geo mean
Feb 6 2021,107489,,26761047,,1992275,,0.053952893,,0.069256674,,0.001616982,,0.093592292,,0.062099639
Feb 5 2021,130261,,26653558,,2079402,,0.062643491,,,,0.001610487,,0.087326557,,
Feb 4 2021,124960,,26523297,,2135639,,0.058511762,,,,0.001602616,,0.084266406,,
Feb 3 2021,121212,,26398337,,2195703,,0.055204187,,,,0.001595066,,0.081412979,,
Feb 2 2021,116915,,26277125,,2258350,,0.051770098,,,,0.001587742,,0.067952118,,
Feb 1 2021,125735,,26160210,,2297559,,0.054725472,,,,0.001580677,,0.058748476,,
Jan 31 2021,112772,,26034475,,2307379,,0.048874502,,,,0.00157308,,0.089126372,,
Jan 30 2021,141559,,25921703,,2409343,,0.058754191,,,,0.001566266,,0.09442443,,
Jan 29 2021,164876,,25780144,,2504246,,0.06583858,,,,0.001557713,,0.093324724,,
Jan 28 2021,158598,,25615268,,2580163,,0.06146821,,,,0.00154775,,0.084895532,,
Jan 27 2021,155504,,25456670,,2646217,,0.058764644,,,,0.001538167,,0.080835293,,
Jan 26 2021,148733,,25301166,,2709757,,0.054887948,,,,0.001528771,,0.073300485,,
Jan 25 2021,133913,,25152433,,2763597,,0.048456052,,,,0.001519784,,0.073344603,,
Jan 24 2021,142259,,25018520,,2837823,,0.050129624,,,,0.001511693,,0.085020007,,
Jan 23 2021,171844,,24876261,,2946036,,0.058330584,,,,0.001503097,,0.088254114,,
Jan 22 2021,191799,,24704417,,3042725,,0.063035273,,,,0.001492714,,0.098376593,,
Jan 21 2021,188772,,24512618,,3161992,,0.059700341,,,,0.001481125,,0.085727113,,
Jan 20 2021,188156,,24323846,,3252005,,0.05785846,,,,0.001469719,,0.063363352,,
Jan 19 2021,147304,,24135690,,3271118,,0.045031699,,,,0.00145835,,0.068276382,,
Jan 18 2021,148518,,23988386,,3352726,,0.044297685,,,,0.001449449,,0.061938213,,
Jan 17 2021,185949,,23839868,,3415775,,0.054438305,,,,0.001440475,,0.069085101,,
Jan 16 2021,213145,,23653919,,3469518,,0.061433605,,,,0.00142924,,0.089203119,,
Jan 15 2021,247071,,23440774,,3575301,,0.069104951,,,,0.001416361,,0.043019181,,
Jan 14 2021,227746,,23193703,,3477844,,0.065484823,,,,0.001401432,,0.065473269,,
Jan 13 2021,225815,,22965957,,3477801,,0.064930397,,,,0.001387671,,0.064054412,,
Jan 12 2021,217393,,22740142,,3474546,,0.062567311,,,,0.001374027,,0.053423137,,
Jan 11 2021,199793,,22522749,,3440981,,0.058062802,,,,0.001360891,,0.057820479,,
Jan 10 2021,220887,,22322956,,3440096,,0.064209545,,,,0.001348819,,0.051358291,,
Jan 9 2021,248578,,22102069,,3393493,,0.073251367,,,,0.001335472,,0.07233395,,
Jan 8 2021,314093,,21853491,,3390137,,0.092649058,,,,0.001320453,,0.032843851,,
Jan 7 2021,279401,,21539398,,3180504,,0.087848027,,,,0.001301474,,0.052886618,,
Jan 6 2021,248121,,21259997,,3063100,,0.081003232,,,,0.001284592,,0.069213657,,
Jan 5 2021,227698,,21011876,,3024302,,0.075289439,,,,0.0012696,,0.048631121,,
Jan 4 2021,174136,,20784178,,2939558,,0.059238838,,,,0.001255842,,0.074618845,,
Jan 3 2021,212496,,20610042,,2988414,,0.071106614,,,,0.00124532,,0.088833183,,
Jan 2 2021,285002,,20397546,,3046553,,0.093549004,,,,0.00123248,,0.030196963,,
Jan 1 2021,168939,,20112544,,2847538,,0.059328093,,,,0.001215259,,0.09973862,,
Dec 31 2020,229634,,19943605,,2975357,,0.077178638,,,,0.001205052,,0.083281862,,
Dec 30 2020,230982,,19713971,,2995166,,0.077118263,,,,0.001191176,,0.071144144,,
Dec 29 2020,201428,,19482989,,2975902,,0.067686369,,,,0.00117722,,0.061498552,,
Dec 28 2020,177814,,19281561,,2956281,,0.060147868,,,,0.001165049,,0.059192511,,
Dec 27 2020,146593,,19103747,,2953279,,0.049637369,,,,0.001154305,,0.071582175,,
Dec 26 2020,179707,,18957154,,3023085,,0.059444905,,,,0.001145447,,0.058279235,,
Dec 25 2020,139152,,18777447,,3019343,,0.046086847,,,,0.001134589,,0.094758085,,
Dec 24 2020,193277,,18638295,,3181681,,0.060746819,,,,0.001126181,,0.075261896,,
Dec 23 2020,229746,,18445018,,3231622,,0.071093092,,,,0.001114503,,0.062836271,,
Dec 22 2020,196516,,18215272,,3203150,,0.061350858,,,,0.001100621,,0.065695767,,
Dec 21 2020,184632,,18018756,,3218046,,0.057373947,,,,0.001088747,,0.062193179,,
Dec 20 2020,198129,,17834124,,3234583,,0.061253336,,,,0.001077591,,0.056163842,,
Dec 19 2020,202050,,17635995,,3217141,,0.06280421,,,,0.001065619,,0.074883965,,
Dec 18 2020,236063,,17433945,,3259149,,0.072430871,,,,0.001053411,,0.070688099,,
Dec 17 2020,248095,,17197882,,3253037,,0.076265656,,,,0.001039147,,0.067132664,,
Dec 16 2020,241272,,16949787,,3221189,,0.074901535,,,,0.001024156,,0.052145836,,
Dec 15 2020,205421,,16708515,,3143856,,0.065340461,,,,0.001009578,,0.058405166,,
Dec 14 2020,206033,,16503094,,3120700,,0.066021405,,,,0.000997166,,0.043010354,,
Dec 13 2020,183285,,16297061,,3045662,,0.060179035,,,,0.000984717,,0.061420957,,
Dec 12 2020,216520,,16113776,,3049692,,0.070997334,,,,0.000973642,,0.058218382,,
Dec 11 2020,247365,,15897256,,3008311,,0.082227203,,,,0.000960559,,0.045980098,,
Dec 10 2020,206749,,15649891,,2894013,,0.071440246,,,,0.000945613,,0.061839542,,
Dec 9 2020,234504,,15443142,,2864397,,0.08186854,,,,0.00093312,,0.062157254,,
Dec 8 2020,223296,,15208638,,2804194,,0.079629298,,,,0.000918951,,0.048852091,,
Dec 7 2020,187672,,14985342,,2713456,,0.069163458,,,,0.000905459,,0.055442701,,
Dec 6 2020,176766,,14797670,,2674040,,0.066104471,,,,0.000894119,,0.068136141,,
Dec 5 2020,210045,,14620904,,2679870,,0.078378802,,,,0.000883438,,0.073188057,,
Dec 4 2020,217919,,14410859,,2664861,,0.081774997,,,,0.000870747,,0.07562664,,
Dec 3 2020,223070,,14192940,,2647136,,0.084268432,,,,0.000857579,,0.063541101,,
Dec 2 2020,199790,,13969870,,2588545,,0.077182355,,,,0.000844101,,0.05899438,,
Dec 1 2020,181653,,13770080,,2538513,,0.071558822,,,,0.000832029,,0.055774321,,
Nov 30 2020,153743,,13588427,,2496077,,0.061593853,,,,0.000821053,,0.061524297,,
Nov 29 2020,154080,,13434684,,2495892,,0.06173344,,,,0.000811763,,0.037824899,,
Nov 28 2020,144294,,13280604,,2433873,,0.059285756,,,,0.000802453,,0.090205794,,
Nov 27 2020,173683,,13136310,,2516590,,0.069015215,,,,0.000793735,,0.063897991,,
Nov 26 2020,149378,,12962627,,2502833,,0.059683567,,,,0.00078324,,0.077282725,,
Nov 25 2020,185509,,12813249,,2550570,,0.07273237,,,,0.000774214,,0.051789025,,
Nov 24 2020,168182,,12627740,,2494235,,0.06742829,,,,0.000763005,,0.053093537,,
Nov 23 2020,159162,,12459558,,2456476,,0.064792817,,,,0.000752843,,0.046618032,,
Nov 22 2020,149317,,12300396,,2409647,,0.061966338,,,,0.000743226,,0.060214414,,
Nov 21 2020,187162,,12151079,,2405155,,0.077817022,,,,0.000734204,,0.044820374,,
Nov 20 2020,195043,,11963917,,2322069,,0.083995351,,,,0.000722895,,0.057122935,,
Nov 19 2020,187759,,11768874,,2255889,,0.083230602,,,,0.00071111,,0.046478046,,
Nov 18 2020,167895,,11581115,,2168938,,0.077408852,,,,0.000699765,,0.051678389,,
Nov 17 2020,167127,,11413220,,2110089,,0.079203768,,,,0.000689621,,0.038535061,,
Nov 16 2020,153221,,11246093,,2020835,,0.075820638,,,,0.000679522,,0.018954172,,
Nov 15 2020,101847,,11092872,,1903697,,0.053499585,,,,0.000670264,,0.114687486,,
Nov 14 2020,197622,,10991025,,2035270,,0.097098665,,,,0.00066411,,0.03971121,,
Nov 13 2020,184231,,10793403,,1913641,,0.096272498,,,,0.000652169,,0.042793958,,
Nov 12 2020,160984,,10609172,,1806727,,0.089102559,,,,0.000641038,,0.044397734,,
Nov 11 2020,146501,,10448188,,1722205,,0.085065947,,,,0.00063131,,0.046002691,,
Nov 10 2020,139443,,10301687,,1651686,,0.084424642,,,,0.000622458,,0.035593754,,
Nov 9 2020,122178,,10162244,,1568056,,0.07791686,,,,0.000614033,,0.032915097,,
Nov 8 2020,106980,,10040066,,1495089,,0.071554269,,,,0.000606651,,0.036601413,,
Nov 7 2020,96195,,9933086,,1440846,,0.06676286,,,,0.000600186,,0.084549032,,
Nov 6 2020,136147,,9836891,,1468840,,0.09269015,,,,0.000594374,,0.048797304,,
Nov 5 2020,120672,,9700744,,1401061,,0.086129012,,,,0.000586148,,0.047638564,,
Nov 4 2020,109814,,9580072,,1344436,,0.081680348,,,,0.000578856,,0.03606607,,
Nov 3 2020,91779,,9470258,,1280816,,0.071656663,,,,0.000572221,,0.0455543,,
Nov 2 2020,87457,,9378479,,1245788,,0.070202153,,,,0.000566675,,0.087359204,,
Nov 1 2020,137645,,9291022,,1269208,,0.108449521,,,,0.000561391,,-0.000850875,,
Oct 31 2020,89384,,9153377,,1130601,,0.079058837,,,,0.000553074,,0.058711164,,
Oct 30 2020,100564,,9063993,,1106161,,0.090912625,,,,0.000547673,,0.057261945,,
Oct 29 2020,90945,,8963429,,1066677,,0.085260112,,,,0.000541597,,0.054271245,,
Oct 28 2020,83040,,8872484,,1031725,,0.080486564,,,,0.000536102,,0.050525037,,
Oct 27 2020,73078,,8789444,,999168,,0.073138852,,,,0.000531084,,0.040733778,,
Oct 26 2020,64409,,8716366,,965415,,0.066716386,,,,0.000526669,,0.048738875,,
Oct 25 2020,63522,,8651957,,947170,,0.067065046,,,,0.000522777,,0.070232755,,
Oct 24 2020,84237,,8588435,,950397,,0.088633487,,,,0.000518939,,0.058032325,,
Oct 23 2020,83843,,8504198,,919522,,0.09118107,,,,0.000513849,,0.05631002,,
Oct 22 2020,74905,,8420355,,885544,,0.084586424,,,,0.000508783,,0.05240068,,
Oct 21 2020,64229,,8345450,,855466,,0.075080716,,,,0.000504257,,0.059780523,,
Oct 20 2020,61073,,8281221,,841545,,0.072572471,,,,0.000500376,,0.048496131,,
Oct 19 2020,60689,,8220148,,820251,,0.073988328,,,,0.000496686,,0.033850013,,
Oct 18 2020,47299,,8159459,,786174,,0.060163526,,,,0.000493019,,0.055300482,,
Oct 17 2020,53764,,8112160,,782127,,0.068740754,,,,0.000490161,,0.083663369,,
Oct 16 2020,70699,,8058396,,794864,,0.088944775,,,,0.000486912,,0.056929468,,
Oct 15 2020,63898,,7987697,,767880,,0.083213523,,,,0.00048264,,0.05875951,,
Oct 14 2020,60445,,7923799,,747930,,0.080816387,,,,0.000478779,,0.046022277,,
Oct 13 2020,47994,,7863354,,720651,,0.066598118,,,,0.000475127,,0.053884358,,
Oct 12 2020,47051,,7815360,,710967,,0.06617888,,,,0.000472227,,0.047668501,,
Oct 11 2020,46034,,7768309,,697148,,0.06603189,,,,0.000469384,,0.063664013,,
Oct 10 2020,53756,,7722275,,695385,,0.07730394,,,,0.000466603,,0.07899791,,
Oct 9 2020,58803,,7668519,,696664,,0.084406543,,,,0.000463355,,0.063776854,,
Oct 8 2020,55503,,7609716,,681313,,0.08146476,,,,0.000459802,,0.061186894,,
Oct 7 2020,53464,,7554213,,666597,,0.080204381,,,,0.000456448,,0.044264493,,
Oct 6 2020,40163,,7500749,,641530,,0.062605022,,,,0.000453217,,0.076448293,,
Oct 5 2020,40002,,7460586,,651146,,0.061433227,,,,0.000450791,,0.056247375,,
Oct 4 2020,36787,,7420584,,647568,,0.056807934,,,,0.000448374,,0.076000841,,
Oct 3 2020,49566,,7383797,,661019,,0.074984229,,,,0.000446151,,0.06645974,,
Oct 2 2020,50516,,7334231,,654983,,0.077125666,,,,0.000443156,,0.070989784,,
Oct 1 2020,47401,,7283715,,650657,,0.07285098,,,,0.000440104,,0.065823012,,
Sep 30 2020,45617,,7236314,,645762,,0.070640577,,,,0.00043724,,0.056390623,,
Sep 29 2020,39253,,7190697,,636010,,0.061717583,,,,0.000434483,,0.047631435,,
Sep 28 2020,34249,,7151444,,626603,,0.054658213,,,,0.000432111,,0.058563069,,
Sep 27 2020,36549,,7117195,,629202,,0.058087864,,,,0.000430042,,0.076293284,,
Sep 26 2020,49988,,7080646,,641603,,0.077911107,,,,0.000427834,,0.059329431,,
Sep 25 2020,46752,,7030658,,628929,,0.074335895,,,,0.000424813,,0.06830661,,
Sep 24 2020,42826,,6983906,,624859,,0.068537062,,,,0.000421988,,0.05952908,,
Sep 23 2020,41698,,6941080,,618874,,0.067377204,,,,0.000419401,,0.067235528,,
Sep 22 2020,49940,,6899382,,618780,,0.080707198,,,,0.000416881,,0.022828273,,
Sep 21 2020,39639,,6849442,,582129,,0.068093155,,,,0.000413864,,0.042653443,,
Sep 20 2020,37459,,6809803,,566660,,0.066104895,,,,0.000411468,,0.069430352,,
Sep 19 2020,42580,,6772344,,568685,,0.074874491,,,,0.000409205,,0.090318844,,
Sep 18 2020,49305,,6729764,,578340,,0.08525262,,,,0.000406632,,0.077958746,,
Sep 17 2020,44290,,6680459,,573765,,0.077191882,,,,0.000403653,,0.07520453,,
Sep 16 2020,42229,,6636169,,572532,,0.073758323,,,,0.000400977,,0.058315561,,
Sep 15 2020,34850,,6593940,,563143,,0.061884814,,,,0.000398425,,0.076134649,,
Sep 14 2020,34548,,6559090,,571829,,0.060416663,,,,0.00039632,,0.058658528,,
Sep 13 2020,35511,,6524542,,570761,,0.062216935,,,,0.000394232,,0.075299394,,
Sep 12 2020,40550,,6489031,,578836,,0.070054385,,,,0.000392086,,0.084385674,,
Sep 11 2020,46608,,6448481,,587896,,0.079279328,,,,0.000389636,,0.063291928,,
Sep 10 2020,37969,,6401873,,577862,,0.065705999,,,,0.00038682,,0.073246888,,
Sep 9 2020,33362,,6363904,,582564,,0.057267528,,,,0.000384526,,0.063408961,,
Sep 8 2020,23590,,6330542,,586384,,0.040229611,,,,0.00038251,,0.06705722,,
Sep 7 2020,26350,,6306952,,603246,,0.043680356,,,,0.000381085,,0.067023105,,
Sep 6 2020,34363,,6280602,,618339,,0.055573076,,,,0.000379493,,0.078697313,,
Sep 5 2020,45510,,6246239,,633859,,0.071798302,,,,0.000377416,,0.077909601,,
Sep 4 2020,49745,,6200729,,638060,,0.077962888,,,,0.000374666,,0.067785465,,
Sep 3 2020,45118,,6150984,,631094,,0.071491727,,,,0.000371661,,0.064336674,,
Sep 2 2020,40219,,6105866,,626268,,0.06422011,,,,0.000368935,,0.079271837,,
Sep 1 2020,43838,,6065647,,636506,,0.068872878,,,,0.000366504,,0.046136217,,
Aug 31 2020,32517,,6021809,,621334,,0.052334171,,,,0.000363856,,0.071070226,,
Aug 30 2020,38547,,5989292,,633866,,0.060812538,,,,0.000361891,,0.073704504,,
Aug 29 2020,43552,,5950745,,642688,,0.067765385,,,,0.000359562,,0.085820309,,
Aug 28 2020,45213,,5907193,,655381,,0.068987352,,,,0.00035693,,0.088005644,,
Aug 27 2020,47278,,5861980,,669048,,0.070664586,,,,0.000354198,,0.078457876,,
Aug 26 2020,46954,,5814702,,674706,,0.069591793,,,,0.000351342,,0.070510666,,
Aug 25 2020,37692,,5767748,,675373,,0.05580916,,,,0.000348504,,0.074945165,,
Aug 24 2020,33430,,5730056,,689344,,0.048495381,,,,0.000346227,,0.065520449,,
Aug 23 2020,38736,,5696626,,701903,,0.055187113,,,,0.000344207,,0.077386782,,
Aug 22 2020,45476,,5657890,,718792,,0.06326726,,,,0.000341866,,0.077425622,,
Aug 21 2020,47406,,5612414,,729823,,0.064955476,,,,0.000339119,,0.080888919,,
Aug 20 2020,45191,,5565008,,742475,,0.060865349,,,,0.000336254,,0.076597914,,
Aug 19 2020,46838,,5519817,,755125,,0.062026817,,,,0.000333524,,0.062288836,,
Aug 18 2020,39987,,5472979,,755336,,0.052939354,,,,0.000330694,,0.064582903,,
Aug 17 2020,39019,,5432992,,764738,,0.051022703,,,,0.000328277,,0.06854493,,
Aug 16 2020,42364,,5393973,,779124,,0.054373887,,,,0.00032592,,0.075313109,,
Aug 15 2020,54584,,5351609,,796767,,0.068506853,,,,0.00032336,,0.076265248,,
Aug 14 2020,56815,,5297025,,803459,,0.070713005,,,,0.000320062,,0.080517126,,
Aug 13 2020,53260,,5240210,,812026,,0.065589033,,,,0.000316629,,0.08665491,,
Aug 12 2020,56883,,5186950,,830755,,0.068471451,,,,0.000313411,,0.07791479,,
Aug 11 2020,55925,,5130067,,839263,,0.066635846,,,,0.000309974,,0.054310808,,
Aug 10 2020,40683,,5074142,,828325,,0.04911478,,,,0.000306595,,0.074019255,,
Aug 9 2020,48885,,5033459,,850603,,0.057470994,,,,0.000304136,,0.077637969,,
Aug 8 2020,54577,,4984574,,869201,,0.06278985,,,,0.000301183,,0.081580861,,
Aug 7 2020,62273,,4929997,,886985,,0.070207501,,,,0.000297885,,0.077250477,,
Aug 6 2020,56194,,4867724,,893755,,0.062874054,,,,0.000294122,,0.077410372,,
Aug 5 2020,53900,,4811530,,907837,,0.059371892,,,,0.000290727,,0.072679492,,
Aug 4 2020,50357,,4757630,,920865,,0.054684454,,,,0.00028747,,0.067633192,,
Aug 3 2020,50060,,4707273,,933654,,0.053617293,,,,0.000284427,,0.059512127,,
